OMAZ,DMAZ,DISTWALK,i,j,actual
1973,1996,0.114,1973,1996,2.28
1973,1974,0.135,1973,1974,2.7
1973,1993,0.149,1973,1993,2.98
1973,1995,0.149,1973,1995,2.98
1973,1977,0.169,1973,1977,3.3800000000000003
1973,1997,0.173,1973,1997,3.46
1973,2002,0.187,1973,2002,3.74
1973,1976,0.188,1973,1976,3.76
1973,2001,0.189,1973,2001,3.78
1973,2020,0.201,1973,2020,4.0200000000000005
1973,1975,0.212,1973,1975,4.24
1973,1989,0.218,1973,1989,4.36
1973,1999,0.224,1973,1999,4.48
1973,1998,0.225,1973,1998,4.5
1973,2021,0.227,1973,2021,4.54
1973,2014,0.23,1973,2014,4.6000000000000005
1973,1994,0.231,1973,1994,4.62
1973,2000,0.255,1973,2000,5.1000000000000005
1973,1980,0.262,1973,1980,5.24
1973,2019,0.263,1973,2019,5.26
1973,2016,0.268,1973,2016,5.36
1973,1979,0.274,1973,1979,5.48
1973,2017,0.293,1973,2017,5.86
1973,1982,0.298,1973,1982,5.96
1973,2018,0.299,1973,2018,5.98
1973,2005,0.3,1973,2005,5.999999999999999
1973,1981,0.325,1973,1981,6.5
1973,1988,0.331,1973,1988,6.62
1973,1992,0.334,1973,1992,6.680000000000001
1973,2013,0.335,1973,2013,6.700000000000001
1973,2015,0.335,1973,2015,6.700000000000001
1973,2004,0.338,1973,2004,6.760000000000001
1973,2024,0.338,1973,2024,6.760000000000001
1973,2006,0.342,1973,2006,6.84
1973,1990,0.353,1973,1990,7.06
1973,1991,0.363,1973,1991,7.26
1973,2012,0.367,1973,2012,7.34
1973,2008,0.373,1973,2008,7.46
1973,2022,0.375,1973,2022,7.5
1973,2023,0.386,1973,2023,7.720000000000001
1973,1985,0.408,1973,1985,8.159999999999998
1973,2026,0.409,1973,2026,8.18
1973,2041,0.409,1973,2041,8.18
1973,2036,0.411,1973,2036,8.219999999999999
1973,1978,0.418,1973,1978,8.36
1973,2096,0.434,1973,2096,8.68
1973,2050,0.435,1973,2050,8.7
1973,2035,0.437,1973,2035,8.74
1973,1983,0.439,1973,1983,8.780000000000001
1973,2007,0.445,1973,2007,8.9
1973,2095,0.451,1973,2095,9.02
1973,2003,0.464,1973,2003,9.28
1973,2097,0.471,1973,2097,9.42
1973,2092,0.473,1973,2092,9.46
1973,1986,0.478,1973,1986,9.56
1973,1987,0.481,1973,1987,9.62
1973,2043,0.484,1973,2043,9.68
1973,2093,0.485,1973,2093,9.7
1973,2025,0.486,1973,2025,9.72
1973,2009,0.497,1973,2009,9.94
1973,2034,0.514,1973,2034,10.28
1973,1984,0.533,1973,1984,10.66
1973,2037,0.535,1973,2037,10.7
1973,2045,0.547,1973,2045,10.94
1973,2085,0.547,1973,2085,10.94
1973,2089,0.549,1973,2089,10.980000000000002
1973,2049,0.564,1973,2049,11.279999999999998
1973,2090,0.566,1973,2090,11.32
1973,2011,0.571,1973,2011,11.42
1973,2044,0.577,1973,2044,11.54
1973,2098,0.579,1973,2098,11.579999999999998
1973,2027,0.585,1973,2027,11.7
1973,2042,0.593,1973,2042,11.86
1973,2048,0.604,1973,2048,12.08
1973,2099,0.607,1973,2099,12.14
1973,2115,0.611,1973,2115,12.22
1973,2104,0.637,1973,2104,12.74
1973,2107,0.648,1973,2107,12.96
1973,2031,0.649,1973,2031,12.98
1973,2094,0.653,1973,2094,13.06
1973,2047,0.665,1973,2047,13.3
1973,2113,0.701,1973,2113,14.02
1973,2046,0.703,1973,2046,14.06
1973,2084,0.709,1973,2084,14.179999999999998
1973,2029,0.71,1973,2029,14.2
1973,2091,0.711,1973,2091,14.22
1973,2100,0.713,1973,2100,14.26
1973,2111,0.715,1973,2111,14.3
1973,2038,0.717,1973,2038,14.34
1973,2082,0.721,1973,2082,14.419999999999998
1973,2032,0.722,1973,2032,14.44
1973,2075,0.722,1973,2075,14.44
1973,2102,0.732,1973,2102,14.64
1973,2040,0.734,1973,2040,14.68
1973,2059,0.734,1973,2059,14.68
1973,2039,0.741,1973,2039,14.82
1973,2078,0.754,1973,2078,15.080000000000002
1973,2127,0.762,1973,2127,15.24
1973,2087,0.766,1973,2087,15.320000000000002
1973,2114,0.775,1973,2114,15.500000000000002
1973,2103,0.781,1973,2103,15.62
1973,2079,0.782,1973,2079,15.64
1973,2072,0.783,1973,2072,15.66
1973,2110,0.787,1973,2110,15.740000000000002
1973,2112,0.79,1973,2112,15.800000000000002
1973,2123,0.79,1973,2123,15.800000000000002
1973,2057,0.792,1973,2057,15.84
1973,2033,0.794,1973,2033,15.88
1973,2083,0.803,1973,2083,16.06
1973,2088,0.806,1973,2088,16.12
1973,2073,0.807,1973,2073,16.14
1973,2069,0.813,1973,2069,16.259999999999998
1973,2058,0.814,1973,2058,16.279999999999998
1973,2061,0.819,1973,2061,16.38
1973,2064,0.819,1973,2064,16.38
1973,2060,0.823,1973,2060,16.46
