PUMA,TRACT,BG,BLOCK,household_id,wgtp,SERIALNO,industry,occupation,AGEP,SEX,WKHP,ESR,SCHG,WKW,MIL,SCHL,per_num,GQFLAG,person_id
703,41039003700,4.10E+11,4.10E+14,405812,103,2020HU0913504,0,0,20,2,6,6,6,4,4,9,1,0,40581201
703,41039003700,4.10E+11,4.10E+14,405812,103,2020HU0913504,0,0,20,2,-8,6,6,-8,4,9,2,0,40581202
703,41039003700,4.10E+11,4.10E+14,405812,103,2020HU0913504,0,0,19,2,12,6,6,6,4,9,3,0,40581203
703,41039003700,4.10E+11,4.10E+14,405812,103,2020HU0913504,1,1,19,2,40,1,6,4,4,9,4,0,40581204
703,41039003700,4.10E+11,4.10E+14,405813,32,2018HU0094174,0,0,24,2,-8,6,7,-8,4,13,1,0,40581301
703,41039003700,4.10E+11,4.10E+14,405814,40,2018HU0100243,0,0,25,1,40,3,6,3,4,11,1,0,40581401
703,41039003700,4.10E+11,4.10E+14,405814,40,2018HU0100243,1,1,22,1,25,1,6,3,4,11,2,0,40581402
703,41039003700,4.10E+11,4.10E+14,405815,30,2018HU0133457,0,0,49,2,24,6,-8,3,2,14,1,0,40581501
703,41039003700,4.10E+11,4.10E+14,405815,30,2018HU0133457,0,0,18,2,-8,3,5,-8,4,9,2,0,40581502
703,41039003700,4.10E+11,4.10E+14,405816,18,2018HU0137539,0,0,21,2,10,6,6,5,4,9,1,0,40581601
703,41039003700,4.10E+11,4.10E+14,405816,18,2018HU0137539,1,1,21,2,15,1,6,5,4,9,2,0,40581602
703,41039003700,4.10E+11,4.10E+14,405817,32,2018HU0231555,1,1,39,1,50,1,-8,1,4,9,1,0,40581701
703,41039003700,4.10E+11,4.10E+14,405818,22,2018HU0251018,1,1,21,2,16,1,6,3,4,11,1,0,40581801
703,41039003700,4.10E+11,4.10E+14,405818,22,2018HU0251018,0,0,20,2,-8,6,6,-8,4,11,2,0,40581802
703,41039003700,4.10E+11,4.10E+14,405819,17,2018HU0304743,1,1,39,1,40,1,-8,3,4,14,1,0,40581901
703,41039003700,4.10E+11,4.10E+14,405819,17,2018HU0304743,1,1,32,2,60,1,-8,1,4,13,2,0,40581902
703,41039003700,4.10E+11,4.10E+14,405819,17,2018HU0304743,1,1,9,1,-8,-8,3,-8,-8,2,3,0,40581903
703,41039003700,4.10E+11,4.10E+14,405819,17,2018HU0304743,1,1,2,1,-8,-8,-8,-8,-8,-8,4,0,40581904
