MAZ,TAZ,EXTERNAL,EMP_AFS,EMP_CON,EMP_GOV,EMP_HCS,EMP_IFRPBS,EMP_NRM,EMP_OSV,EMP_RET,EMP_AER,EMP_MFG,EMP_WT,EMP_EDU,EMP_TWU,EMP_TOTAL,ENROLLGRADEKto8,ENROLLGRADE9to12,DIST_Kto8,DIST_9to12,COLLEGEENROLL,PRKCST_HR,PRKCST_DAY,PRKCST_MNTH,PRKSPACES,INTHMI,PARKATTRACT,TERMINALTIME,ESCOOACCTIME,EBIKEACCTIME,PNR_SPACES,DISTRICT9,TOTHHS,TOTPOP,ACRES,walk_dist_local_bus,walk_dist_premium_transit,empden,retempden,duden,popden,popempdenpermi,totint,exp_hourly,exp_daily,exp_monthly,external_size_term
1,1,0,272,1,61,0,402,4,2,215,0,0,0,0,0,466,0,0,PORTLAND,PORTLAND,0,2.4,0.0,0.0,,290,0,,,,0,1,0,0,1.663376972,0.111,0.114,212.171,5.386,8.387,9.721,142010.866,290,2.358531895,13.83811854,11.29363801,0
2,1,0,13,1,0,9,120,0,0,9,17,5,0,0,0,222,0,0,PORTLAND,PORTLAND,0,2.4,14.0,12.909,,300,0,,,,0,1,1,1,1.648408203,0.025,0.025,248.867,5.958,8.134,10.023,165689.228,300,2.341114726,13.73529804,11.21401946,0
3,1,0,0,0,0,0,0,0,0,130,0,0,0,0,0,187,0,0,PORTLAND,PORTLAND,0,2.4,0.0,0.0,,295,0,,,,0,1,0,0,1.692986735,0.0,0.0,200.985,4.795,9.947,12.403,136568.548,295,2.358749471,13.86000086,11.30640305,0
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PORTLAND,PORTLAND,0,2.4,0.0,0.0,,303,0,,,,0,1,0,0,1.66587395,0.025,0.025,248.867,5.958,8.134,10.023,165689.228,303,2.348384537,13.77652385,11.24189758,0
5,1,0,4,0,0,0,284,0,2,0,6,0,38,0,0,746,0,0,PORTLAND,PORTLAND,0,2.4,0.0,0.0,,281,0,,,,0,1,0,0,1.674021285,0.0,0.0,185.323,4.829,12.455,16.658,129267.743,281,2.342058854,13.74950742,11.18576795,0
6,1,0,189,359,842,130,3065,10,209,30,1,141,618,65,141,7601,0,0,PORTLAND,PORTLAND,0,2.4,13.0,13.0,,292,0,,,,0,1,0,0,1.67152016,0.0,0.0,177.345,4.56,12.639,16.549,124092.272,292,2.340672256,13.75411897,11.21717131,0
7,1,0,0,0,0,0,34,0,0,0,0,0,0,0,675,980,0,0,PORTLAND,PORTLAND,0,2.4,0.0,0.0,,260,0,,,,0,1,0,0,1.618273682,0.048,0.151,184.132,4.853,9.589,12.108,125593.938,260,2.371995677,13.94841663,11.3383661,0
8,1,0,4,0,0,0,0,0,0,14,0,0,0,0,0,8,0,0,PORTLAND,PORTLAND,0,2.4,18.0,14.653,,275,0,,,,0,1,0,0,1.667942492,0.078,0.078,251.499,6.04,8.211,10.125,167439.813,275,2.357085348,13.82614764,11.24679577,0
9,1,0,195,13,9,3,374,0,4,4,0,0,0,1,0,417,0,0,PORTLAND,PORTLAND,0,2.4,11.0,8.955,,264,0,,,,0,1,5,5,1.605403154,0.097,0.103,206.557,4.91,6.758,8.32,137521.742,264,2.370953654,13.92619916,11.33339506,0
10,1,0,0,0,0,11,14,0,4,38,0,0,0,0,0,30,0,0,PORTLAND,PORTLAND,0,2.4,15.703,12.5,,274,0,,,,0,1,0,0,1.644174743,0.078,0.078,251.499,6.04,8.211,10.125,167439.813,274,2.385061556,14.00948872,11.42693755,0
11,1,0,2,0,0,0,17,0,0,9,0,0,0,0,0,38,0,0,PORTLAND,PORTLAND,0,2.4,15.0,13.7,,268,0,,,,0,1,0,0,1.623607736,0.127,0.019,216.39,5.495,6.954,8.11,143679.42,268,2.370414336,13.9329338,11.35523126,0
12,1,0,58,0,0,1,15,0,0,71,0,0,0,0,0,85,0,0,PORTLAND,PORTLAND,0,2.4,0.0,0.0,,279,0,,,,0,1,0,0,1.693490176,0.097,0.1,206.431,5.128,8.852,10.507,138840.328,279,2.385022533,14.01003395,11.42615299,0
13,2,0,2,0,13,0,305,0,18,36,0,0,0,0,0,290,0,0,PORTLAND,PORTLAND,0,2.4,0.0,0.0,,290,0,,,,0,1,0,0,1.675628107,0.027,0.027,239.057,6.004,11.303,13.72,161777.005,290,2.392867163,14.04817381,11.4617286,0
14,2,0,308,0,0,0,216,0,30,38,0,0,0,0,0,348,0,0,PORTLAND,PORTLAND,0,2.4,0.0,0.0,,305,0,,,,0,1,0,0,1.710804618,0.0,0.024,200.507,5.396,9.777,11.267,135534.871,305,2.363402577,13.85398155,11.30305243,0
15,2,0,32,0,0,3,663,0,0,9,0,0,3,0,0,402,0,0,PORTLAND,PORTLAND,0,2.4,0.0,0.0,,295,0,,,,0,1,92,116,1.645932162,0.0,0.0,169.13,4.345,9.47,11.166,115389.093,295,2.391096468,13.91387982,11.34976476,0
16,2,0,0,0,0,3,274,0,16,0,0,0,13,3,0,151,0,0,PORTLAND,PORTLAND,0,2.4,0.0,0.0,,305,0,,,,0,1,0,0,1.687356476,0.0,0.024,200.507,5.396,9.777,11.267,135534.871,305,2.397611539,13.93687801,11.38521225,0
17,2,0,0,3,0,39,1545,0,6,47,0,0,0,0,0,1868,0,0,PORTLAND,PORTLAND,0,2.4,20.0,16.281,,271,0,,,,0,1,0,0,1.612004312,0.127,0.019,216.39,5.495,6.954,8.11,143679.42,271,2.370498215,13.91910624,11.34618226,0
18,2,0,44,0,0,0,0,0,10,1,0,0,0,0,0,79,0,0,PORTLAND,PORTLAND,0,2.4,0.0,0.0,,280,0,,,,0,1,0,0,1.669718426,0.048,0.051,169.13,4.345,9.47,11.166,115389.093,280,2.385072448,13.99163458,11.41321432,0
19,2,0,20,0,0,5,23,0,17,15,4,16,2,0,0,130,0,0,PORTLAND,PORTLAND,0,2.4,21.0,10.0,,271,0,,,,0,1,0,0,1.61121629,0.0,0.152,190.39,4.749,6.558,7.558,126687.037,271,2.37226633,13.90717476,11.34319338,0
